"","grid","DYRK1A_N","ITSN1_N","BDNF_N","NR1_N","NR2A_N","pAKT_N","pBRAF_N","pCAMKII_N","pCREB_N","pELK_N","pERK_N","pJNK_N","PKCA_N","pMEK_N","pNR1_N","pNR2A_N","pNR2B_N","pPKCAB_N","pRSK_N","AKT_N","BRAF_N","CAMKII_N","CREB_N","ELK_N","ERK_N","GSK3B_N","JNK_N","MEK_N","TRKA_N","RSK_N","APP_N","Bcatenin_N","SOD1_N","MTOR_N","P38_N","pMTOR_N","DSCR1_N","AMPKA_N","NR2B_N","pNUMB_N","RAPTOR_N","TIAM1_N","pP70S6_N","NUMB_N","P70S6_N","pGSK3B_N","pPKCG_N","CDK5_N","S6_N","ADARB1_N","AcetylH3K9_N","RRP1_N","BAX_N","ARC_N","ERBB4_N","nNOS_N","Tau_N","GFAP_N","GluR3_N","GluR4_N","IL1B_N","P3525_N","pCASP9_N","PSD95_N","SNCA_N","Ubiquitin_N","pGSK3B_Tyr216_N","SHH_N","pS6_N","pCFOS_N","SYP_N","CaNA_N","intercept"
"27",0.0346091782887005,0,0,-0.206204505695638,0,0,0,0,0,0,0,-0.0630444004456482,0,0,0,-0.370639731125605,0,0,0,0,0,0,0,0,0,-0.0979026668273076,0,0,0,0,0,2.07911555527609,0,0,-0.194271021913777,0,0,0,-0.524670040346243,0,-0.00375509132055446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402390465962984,0,-0.176997473158241,0,0,0,0,0,0,0,0,0,0,0,-0.0701449562362522,0,0
"28",0.0316016654853529,0,0,-0.229975435765668,0,0,0,0,0,0,0,-0.0805656745722376,0,0,0,-0.370632638630329,0,0,0,0,0,0,0,0,0,-0.11613067977295,0,0,0,0,0,2.17784883407099,0,0,-0.226524845979927,0,0,0,-0.521234379634349,0,-0.0280777574557259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419910462755022,0,-0.197319420498875,0,0,0,0,0,0,0,0,0,0,0,-0.0720996446722769,0,0
"29",0.0288555033903882,0,0,-0.250857418058369,0,0,0,0,0,0,0,-0.0934792154057753,0,0,0,-0.370006257218342,0,0,-0.00288212894523265,0,0,0,0,0,0,-0.139146195153187,0,0,0,0,0,2.27464295134842,0,0,-0.265715746350162,0,0,0,-0.512971830116863,0,-0.0507090743983657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165945742500911,0,0.429120393510773,0,-0.218596046483009,0,0,0,0,0,0,0,0,0,0,0,-0.079699008431278,0,0
"30",0.0263479808144487,0,0,-0.266972951834979,0,0,0,0,0,0,0,-0.0995196564508326,0,0,0,-0.36848312057161,0,0,-0.012280208490827,0,0,0,0,0,0,-0.168950849117843,0,0,0,0,0,2.36969988161637,0,0,-0.315938942732274,0,0,0,-0.497806355693584,0,-0.0707334434144899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581711231255094,0,0.425779469783747,0,-0.241785722025258,0,0,0,0,0,0,0,0,0,0,0,-0.0957580998673162,0,0
"31",0.0240583601542644,0,0,-0.279309264244507,0,0,0,0,0,0,0,-0.103493568040677,0,-0.00990467386820816,0,-0.367199305095576,0,0,-0.0120316328685549,0,0,0,0,0,0,-0.202683912182913,0,0,0,0,0,2.46200234950124,0,0.0089155730645325,-0.361967953811284,0,0,0,-0.489936384908611,0,-0.0835607499130776,0,0,0,0,0,0,0,0,0,0,0,0,0.00569103838820562,0,0.0986233484199574,0,0.421266285127408,0,-0.263577856271115,0,0,0,0,0,0,0,0,0,0,0,-0.113296076369014,0,0
"32",0.0219677058894355,0,0,-0.286053765713148,0,0,0,0,0,0,0,-0.106542802648735,0,-0.0300239608329537,0,-0.35630337021063,-0.0157043318572462,0,-0.0120184455385376,0,0,0,0,0,0,-0.248795375781851,0,0,0,0,0,2.55117512537289,0,0.0172288756986268,-0.389346111706677,0,0,0,-0.499819905654105,0,-0.0889664573800853,0,0,0,0,0,0,0,0,0,0,0,0,0.0428528001265464,0,0.137831314073146,0,0.412212583958635,0,-0.287471396641048,0,0,0,0,0,0,0,0,0,0,0,-0.131642161223959,0,0
"33",0.0200587279827216,0,0,-0.289893991867006,0,0,0,0,0,0,0,-0.109384490639958,0,-0.0518683695826169,0,-0.345568505874022,-0.0367084965238191,0,-0.00952245159959223,0,0,0,0,0,0,-0.296266903226179,0,0,0,0,0,2.6397277406018,0,0.0266022723501407,-0.410747202822497,0,0,0,-0.51197270519158,0,-0.0957388855786862,0,0,0,0,0,0,0,0,0,0,0,0,0.0792503050410935,0,0.179986174078635,0,0.40261081167673,0,-0.310170184819322,0,0,0,0,0,0,0,0,-0.00736522587266735,0,0,-0.148971862101632,0,0
"34",0.0183156388887342,0,0,-0.278686628787149,0,0,0,0,0,0,0,-0.107014391140371,0,-0.082974986308408,0,-0.345571496182152,-0.0611125905959493,0,-0.0116489882579765,0,0,0,0,0,0,-0.351037882520172,0,0,0,0,0,2.72755653507753,0,0.0345442568593138,-0.408572392060983,0,0,0,-0.532166079424368,0,-0.109956452060417,0,0,0,0.0150536795382723,0,0,0.0118998955711952,0,0,0,0,0,0.109535036893914,0,0.232964036287823,0,0.386954248300699,0,-0.331085412383981,0,0,0,0,0,0,0,0,-0.0429795260389239,0,0,-0.16731850551757,0,0
"35",0.0167240229884704,0,0,-0.24954139788071,0,0,0,0,0,0,0,-0.0974512971545515,0,-0.0899632297341555,0,-0.35709984769211,-0.0863283366911427,0,-0.0395781474042715,0,0,0,0,0,-0.0248870176083441,-0.407599200616215,0,0,0,0,0,2.78543452383451,0,0.0401754835584072,-0.403173486125072,0,0,0,-0.566159131566166,0,-0.147995748403899,0,0.0480944856206695,0,0.0932885386138053,0,0,0.0311063139028918,0,0,0,0,0,0.122191077348663,0,0.286431358935679,0,0.358039372101787,0,-0.354403109114082,0,0,0,0,0,0,0,0,-0.0783261569328613,0,0,-0.187460120685635,0,0
"36",0.0152707173698934,0,0,-0.203760808238889,0,0,0,0,0,0,0,-0.0853818795871427,0,-0.0858981889641296,0,-0.361132714956809,-0.106275291092316,0,-0.0661455529349644,0,0,-8.71670025286795e-05,-0.00202808642287719,0,-0.0891314485734931,-0.437537081969556,0,0,0,0,0,2.80345334598157,0,0.0426833495286737,-0.42324226300585,0,0,0,-0.633966242350984,0,-0.209745841848756,0,0.184412990325009,0,0.187629702753814,0,0,0.0434498816983356,0,0,0,0,0,0.122532345414433,0,0.344438802056431,0,0.325835157592242,0,-0.377859957256809,0,0,0,0,0,0,0,0,-0.104551830463881,0,0,-0.207585085604446,0,0
"37",0.0139437029685936,0,0,-0.165042537526744,0,0,0,0,0,0,0,-0.0599793963205416,0,-0.0767422508880671,0,-0.377416640337756,-0.128873447704312,0,-0.0997871090631385,0,0,-0.0157647224891995,-0.0340122701309033,0,-0.150152593823683,-0.491533997132298,0,0,0,0.0593127187380727,0,2.8127918826672,0,0.0516082947091722,-0.442066662424438,0,0,0,-0.697461178204237,0,-0.259571523256966,0,0.322262241147009,0,0.272469273392189,0,0,0.0426822105544398,0,0,0,0,0,0.12734301467023,0,0.395707150196335,0,0.299273472530558,0,-0.404747410816099,0,0,0,0,0,0,0,0,-0.124667735173289,0,0,-0.226624420235414,0,0
"38",0.01273200516825,0,0,-0.178983999290919,0,0,0,0,-0.0228109829372408,0,0,-0.0245827856053468,0,-0.0408342681634432,0,-0.442971364772519,-0.145774826665409,0,-0.156833659633692,-0.0366904029949816,0,-0.049875479784612,-0.0974947018277731,0,-0.181153830671251,-0.599396752746397,0,0,0,0.293609709898048,0,2.80006573864163,0,0.0624991967242199,-0.466626567688865,0,0,0,-0.747245574303476,0,-0.28772239225596,0,0.473899960993112,0,0.321547074972646,0,0,0.0389948402368245,0,0,0,0,0,0.139396177603298,0,0.428058186384242,0,0.2919403380231,0,-0.430321671289831,0,0,0,0,0,0,0,0,-0.134228482444713,0,0,-0.252101376343871,0,0
"39",0.0116256030388385,0,0,-0.18284885420438,0,0,0,0,-0.0462128917366593,0,0,0,0,0,0,-0.495141641237791,-0.156772056599103,0,-0.209981962065745,-0.0860595360590952,0,-0.0716733171809781,-0.142732332593018,0,-0.217627237948344,-0.693077316643244,0,0,0,0.476142611751723,0,2.8104117496099,0,0.0738082260678732,-0.494538758936308,0,0,0,-0.797146418321384,0,-0.313490855543273,0,0.602925939652471,0,0.372224321813071,0,0,0.0485521411999228,0,0,0,0,0,0.150005193349532,0,0.46315834744684,0,0.284552594240085,0,-0.457846533013371,0,0,0,0,0,0,0,0,-0.148027924239877,0,0,-0.277554736351688,0,0
"40",0.0106153464619767,0,0,-0.171279741957681,0,0,0,0,-0.0738092576407588,0,0,0,0,0,0,-0.534084046038058,-0.15828166706466,0,-0.239349145626444,-0.122740440954566,0,-0.0723640123243835,-0.174263275532508,0,-0.258790276065887,-0.783329529408855,0,0,0,0.620368114944909,0,2.8426481759057,0,0.08080155558806,-0.517827395600995,0,0,0,-0.839824942028721,-0.0166627355384928,-0.331818067857984,0,0.719258824425691,0,0.42306259186303,0,0,0.0615160812481657,0,0,0,0,0,0.160762249009642,0,0.49998451914636,0,0.281109062103254,-0.0080038845444342,-0.480623321036288,0,0,0,0,0,0,0,0,-0.164373799806124,0,0,-0.29540198190706,0,0
"41",0.00969288045801528,0,0,-0.156415528771092,-0.00173643556518327,0,0,0,-0.102524089043099,0,0,0,0,0,0,-0.566497911385076,-0.15745243455057,0,-0.266604024153411,-0.155628653347482,0,-0.0727799982895053,-0.199332158611859,0,-0.303418552760123,-0.870018764641573,0,0,0,0.744608548917046,0,2.88497132313609,0,0.0868096503044717,-0.540480188123487,0,0,0,-0.878545070607753,-0.0405815268636834,-0.349806880898855,0,0.827796884994256,0,0.475789326366789,0,0,0.0745307323700253,0,0,0,0,0,0.171385120600554,0,0.536669292619866,0,0.279381813403132,-0.0194791743958284,-0.503188472780351,0,0,0,0,0,0,0.00209154566958204,0,-0.181579223545093,0,0,-0.311051185128784,0,0
"42",0.0088505760890521,0,0,-0.138142480175985,-0.0631533872428442,0,0,0,-0.126454058515084,0,0,0,0,0,0,-0.551448359670152,-0.163885197043368,0,-0.286393014847744,-0.184605561595956,0,-0.0696224855940392,-0.218553537973686,0,-0.351017147199578,-0.94599902092343,0,0,0,0.860503902264262,0,2.93772935572395,0,0.0935967510685518,-0.565192425966735,0,0,0,-0.907674599466525,-0.0630688890386356,-0.376117652831989,0,0.922304264121867,0,0.532952659935848,0,0,0.0862788759379435,0,0,0,0,0,0.179811352039373,0,0.575316922702628,0,0.273795238375673,-0.0320074361103187,-0.530972708912494,0.0132355581348245,0,0,0,0,0,0.00880296831801771,0,-0.199572694097101,0,0,-0.329361331596314,0,0
"43",0.00808146736642413,0,0,-0.119319546250865,-0.119856785198018,0,0,0,-0.151209555199963,0,0,0,0,0,0,-0.537855958656357,-0.167968519997327,0,-0.305055030109142,-0.212269292777195,0,-0.0675271503474034,-0.235972878295706,0,-0.400776740652015,-1.02007889577913,0,0,0,0.966767225790147,0,2.99742266922665,0,0.0982449464529866,-0.591571813929035,0,0,0,-0.935317354028353,-0.0837353637985456,-0.40317713232123,0,1.01116597731137,0,0.589481969992551,0,0,0.0970037808116238,0,0,0,0,0,0.187655274603122,0,0.614322857394566,0,0.269984937431065,-0.0457198598604596,-0.560887993713183,0.0296023782470618,-0.0019430216312961,0,0,0,0,0.0160298461564565,0,-0.217220950680988,0,0,-0.346240153584811,0,0
"44",0.00737919364089361,0,0,-0.101561467602177,-0.182843156539409,0,0,0,-0.177310211281269,0,0,0,0,0,0,-0.521215448410768,-0.167824920210853,0,-0.325953085120942,-0.238603637155684,0,-0.068340866378494,-0.250663105657173,0,-0.450890751232188,-1.09251100400087,0,0,0,1.06423491692473,0,3.06587252742612,0,0.100636852459902,-0.618097856540191,0,0,0,-0.963195849094037,-0.0998419993070771,-0.432229583979674,0,1.09077474600933,0,0.64283646310265,0,0,0.102295651818307,0,0,0,0,0,0.194902244383018,0,0.657773769015716,0,0.272136696405233,-0.0630711009347344,-0.58502996943487,0.0438023789653403,-0.0287655074989012,0.00318080772699185,0,0,0,0.0270971175151735,0,-0.230132685624906,0,0,-0.357950121039194,0,0
