"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"",21,-91.4597369622854,1.00153514542988,0.436503189528844,0.14490069737701,-0.326132124727712,-0.0678358348383935,-0.442703625317554,0.550975372716917,0.127161126164316,0.241523159005713,-0.247596270277291,-0.00954578293340029,0.0827790173437814,-0.0904068707198366,-0.109240389465192,0.101321974520624,1.15331448106717,0.492790110777691,0.659994692731831,-0.676140422566342
"",22,-89.8002489642524,1.02136526758941,0.445834042828811,0.150661965992685,-0.332196186257251,-0.0701604063014281,-0.449052160635914,0.566509380806498,0.129337699474979,0.24512346289069,-0.250500719911846,-0.00457915351324136,0.0813096698027976,-0.0947784340591156,-0.115468080569852,0.101767471750756,1.17141555522739,0.50328241002587,0.669312595759215,-0.682707302332709
"",23,-88.2545737218585,1.04045889201254,0.454846991351974,0.156250009270839,-0.33796990867343,-0.0724399120161894,-0.455048991064827,0.581715433738228,0.131440591569393,0.248535241807067,-0.253282698475349,0.000431639422840738,0.0797185665322424,-0.099051302216073,-0.12165300232647,0.102196885508875,1.18879396657942,0.513372769679374,0.678126502172919,-0.688804756356254
"",24,-86.8104265302804,1.05887135763952,0.463562298547345,0.16166844556186,-0.343471812481849,-0.0746758217741568,-0.460723062248312,0.596611645252495,0.133476790224251,0.251775305261262,-0.255957399504884,0.00547406711230619,0.0780177384598992,-0.103225758168894,-0.127792208788396,0.102616355562448,1.20551467791077,0.523086703355205,0.686479795599101,-0.694479338047322
"",25,-85.4572854456877,1.07665201503729,0.471998172228112,0.16692126451072,-0.348718619254606,-0.0768695724432724,-0.466100221760246,0.611214205696183,0.135452378752192,0.25485862975981,-0.258537800060436,0.0105372908128697,0.0762178439106772,-0.107302503296204,-0.133883225900149,0.103030869881775,1.22163462005634,0.532447339630955,0.69441079705773,-0.699771630191822
"",26,-84.1860815951761,1.09384505925096,0.480171059009901,0.172012712386338,-0.353725497891236,-0.0790225632851211,-0.47120364468111,0.62553767454078,0.137372676089815,0.257798604801448,-0.261035022563697,0.0156119124812776,0.0743283620924244,-0.111282571141226,-0.139923982080639,0.103444473949898,1.23720392284633,0.541475733317396,0.701953505308597,-0.704717176831595
"",27,-82.9889530150868,1.11049022223475,0.488095885577563,0.176947202685472,-0.358506268786507,-0.0811361527425812,-0.476054186033031,0.63959521946213,0.139242351797656,0.26060723857742,-0.263458629958287,0.0206897691945572,0.0723577541911588,-0.115167258001562,-0.145912751949816,0.103860438694908,1.2522669214913,0.550191124419595,0.709138208364267,-0.709347244772171
"",28,-81.859047258797,1.12662335250368,0.495786258051626,0.181729246482377,-0.363073574346415,-0.0832116564044196,-0.480670675140119,0.653398813029794,0.141065521063063,0.263295331250947,-0.265816867971427,0.025763762359359,0.0703135983217754,-0.11895806675729,-0.1518481101652,0.10428139604773,1.26686298567086,0.55861115537098,0.715991992014709,-0.713689450215459
"",29,-80.7903618164745,1.14227690345887,0.503254628026994,0.186363398248875,-0.36743902236164,-0.0852503458929263,-0.485070163409751,0.666959395520499,0.142845823643684,0.265872621901626,-0.268116865101315,0.0308277148187028,0.0682027032167182,-0.122656661188673,-0.157728893116609,0.104709448995137,1.2810272074139,0.56675205465074,0.722539165360695,-0.717768277761429
"",30,-79.7776141220768,1.15748034719601,0.510512431871413,0.190854213827464,-0.371613307310646,-0.087253448462638,-0.489268134403924,0.680287010473351,0.144586489824089,0.268347913893243,-0.270364798590262,0.0358762505068094,0.0660312045041809,-0.126264828661722,-0.163554166792393,0.105146261409421,1.29479097559068,0.574628793070658,0.728801618972108,-0.721605512876434
