"","grid","radius_mean","texture_mean","smoothness_mean","compactness_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","smoothness_se","compactness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","smoothness_worst","concave.points_worst","symmetry_worst","fractal_dimension_worst","the intercept"
"33",0.0438371903436512,1.00054173239279,0.30219250196123,0,0,0,0,0.385098324197062,0,0,0,0,0,0,0,0.058191489275033,1.46222984313207,0.0802218356232418,0,-0.301383779427993
"34",0.0407622039783662,1.05531065619378,0.327696083967746,0,0,0,0,0.418144221785345,0,0,0,0,0,0,0,0.0852848184099718,1.45985224195163,0.101386149939987,0,-0.31743629474108
"35",0.0379029144009585,1.11045262709697,0.353309292251053,0,0,0,0,0.451339479004088,0,0,0,0,0,0,0,0.11226665866622,1.45875875288046,0.122279007314646,0,-0.332793451365684
"36",0.0352441914291203,1.16602406345333,0.379041424280985,0,0,0,0,0.484716100752885,0,0,0,0,0,0,0,0.139184584678453,1.45886054021443,0.142928757549716,0,-0.347499103762653
"37",0.0327719661963795,1.22207259076992,0.404899180969071,0,0,0,0,0.518301406242243,0,0,0,0,0,0,0,0.166079052991869,1.46008136471189,0.163358674973527,0,-0.361593791319057
"38",0.030473156705455,1.27863743025947,0.430887015290976,0,0,0,0,0.5521178577178,0,0,0,0,0,0,0,0.192984236751648,1.46235567873893,0.18358760477248,0,-0.375115358588485
"39",0.0283355986037179,1.3357497807823,0.457007388206272,0,0,0,0,0.586182972085172,0,0,0,0,0,0,0,0.21992875031446,1.46562687608682,0.203630511536184,0,-0.388099440323516
"40",0.0263479808144487,1.39343307906429,0.483260948786327,0,0,0,0,0.620509293443665,0,0,0,0,0,0,0,0.24693619097355,1.46984578880376,0.223498947569039,0,-0.400579844116766
"41",0.0244997856832808,1.45170320948604,0.50964665051974,0,0,0,0,0.655104415249291,0,0,0,0,0,0,0,0.274025561890332,1.47496935016911,0.243201454275083,0,-0.412588840017531
"42",0.0227812333231065,1.51056866850269,0.536161814394428,0,0,0,0,0.689971044549332,0,0,0,0,0,0,0,0.301211591004497,1.48095940884244,0.262743907542568,0,-0.424157370326173
"43",0.0211832298629447,1.57003069723572,0.562802148105653,0,0,0,0,0.725107103215738,0,0,0,0,0,0,0,0.328504966385771,1.48778167430689,0.282129815915187,0,-0.435315190092855
"44",0.0196973193269222,1.63008339464454,0.589561730116926,0,0,0,0,0.760505862020503,0,0,0,0,0,0,0,0.355912507013119,1.49540477761699,0.301360578742929,0,-0.446090947914963
"45",0.0183156388887342,1.67851007090603,0.615845516076272,0,0,0,0,0.80513899274692,0,0,0,0,0,0,-0.00971560609931846,0.379151552915124,1.51409438223126,0.319532829983687,0,-0.455490971162576
"46",0.0170308772648064,1.71276379283726,0.641503710016971,0,0,0,0,0.861104422633357,0,0,0,0,0,0,-0.0313996966974765,0.397207870010184,1.54617582698637,0.336467960713533,0,-0.463312709132454
"47",0.0158362360259957,1.74810635289816,0.667269662681068,0,0,0,0,0.917211085434816,0,0,0,0,0,0,-0.053043599693506,0.415418358794728,1.5788127478618,0.353291888394843,0,-0.470870775024782
"48",0.0147253936231038,1.78451801801248,0.693149663250606,0,0,0,0,0.973417832560484,0,0,0,0,0,0,-0.0747178237524646,0.433804713916567,1.61196951567422,0.369994495952122,0,-0.478207781895654
"49",0.0136924719358439,1.82197102825815,0.719147367442402,0,0,0,0,1.02969273450728,0,0,0,0,0,0,-0.0964894703457017,0.452384702752915,1.64561087477814,0.386565079877868,0,-0.485361717018228
"50",0.01273200516825,1.86043036403317,0.74526397481784,0,0,0,0,1.08601190816992,0,0,0,0,0,0,-0.118423025737374,0.471172791464522,1.67970190938354,0.4029924570395,0,-0.492366337673327
"51",0.0118389109259367,1.89985467367947,0.771498448049936,0,0,0,0,1.14235808687125,0,0,0,0,0,0,-0.140580908236048,0.490180736742422,1.71420796905907,0.419265068212531,0,-0.499251630362261
"52",0.0110084633221625,1.94019732706783,0.79784776547969,0,0,0,0,1.19871906519219,0,0,0,0,0,0,-0.163023835034152,0.509418150080427,1.74909455149851,0.435371075253402,0,-0.506044300257601
"53",0.0102362679703842,1.98140748987984,0.824307197739832,0,0,0,0,1.25508614247178,0,0,0,0,0,0,-0.185811072472897,0.528892992284136,1.78432721298672,0.45129844658011,0,-0.512768266854827
"54",0.00951823873097392,2.02343130733134,0.850870604687187,0,0,0,0,1.31145260255727,0,0,0,0,0,0,-0.209000566101061,0.548612050321624,1.8198714364426,0.467035035473299,0,-0.519445144823554
"55",0.0088505760890521,2.06621311438609,0.87753074312598,0,0,0,0,1.36781230081997,0,0,0,0,0,0,-0.232648960970613,0.568581353251978,1.85569251952518,0.482568649251383,0,-0.526094693434403
"56",0.00822974704902003,2.10826023405265,0.905024091337095,0,0,0,0,1.42472271505785,0,0,-0.0217170258924507,0,0,0,-0.24082758217249,0.585163871656915,1.90011620131755,0.49890575396425,0,-0.532542399061692
